Environmental criteria (T/F),Publication Year,Close Year,Municipality,District,Submission deadline (range),Diference between close and signing dates,Execution deadline (days),Base Bid Price Class,I. price Class,Award criteria class,Classification of the multifactor criteria (%),Published in the EU journal,Number of bidders,Signing Year,Signing Month,Signing Day,Closing Date Year,Closing Date Month,Closing Date Day,E. price Class,Difference between the effective and initial price class,engineering work,refurbishment work,surfaced work,Justification for deadline change
0,2020,2021,Vila Nova de Gaia,Porto,Long,Medium Days,Long Deadline,Low Price,Low Price,0,0.0,False,0.05,2020,5,15,2021,12,13,Low Price,High Difference,0,0,0,extension
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.15000000000000002,2020,5,18,2021,10,7,Low Price,High Difference,0,0,0,delay
0,2020,2020,Olhão,Faro,Very Long,Few Days,Medium Deadline,Medium Price,Medium Price,2,1.0,False,0.1,2020,5,19,2020,11,23,Medium Price,Medium Difference,0,0,0,specify
0,2020,2021,Bragança,Bragança,Very Short,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,5,15,2021,6,22,Low Price,High Difference,0,0,1,delay
0,2020,2020,Marco de Canaveses,Porto,Medium,Few Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.05,2020,5,12,2020,12,11,Low Price,High Difference,0,0,1,Not Specified
0,2020,2020,Marco de Canaveses,Porto,Medium,Few Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.05,2020,5,12,2020,12,21,Low Price,High Difference,0,0,1,Not Specified
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Few Days,Medium Deadline,Low Price,Low Price,1,0.8,False,0.125,2020,5,13,2021,4,30,Low Price,High Difference,0,0,0,delay
0,2020,2021,Matosinhos,Porto,Very Short,Few Days,Short Deadline,High Price,Medium Price,1,0.4,False,0.275,2020,5,7,2021,2,15,Medium Price,Medium Difference,0,0,0,change
0,2020,2021,Marco de Canaveses,Porto,Very Short,Few Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.05,2020,5,12,2021,4,29,Low Price,High Difference,0,0,0,specify
0,2019,2020,Olhão,Faro,Very Long,Few Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.125,2020,1,6,2020,6,18,Low Price,Medium Difference,0,0,0,specify
1,2020,2021,Paredes,Porto,Very Long,Few Days,Medium Deadline,Medium Price,Medium Price,0,0.0,False,0.07500000000000001,2020,4,29,2021,2,3,Medium Price,High Difference,0,0,0,delay
0,2020,2021,Pombal,Leiria,Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,4,8,2021,12,21,Low Price,High Difference,0,0,0,inspection
0,2019,2020,Vizela,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.05,2020,1,17,2020,9,17,Medium Price,Low Difference,0,0,0,extension
0,2019,2021,Guimarães,Braga,Very Short,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.17500000000000002,2020,3,2,2021,8,13,Low Price,High Difference,0,0,0,extension
0,2019,2021,Guimarães,Braga,Very Short,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2019,10,24,2021,7,1,Low Price,High Difference,0,0,0,extension
0,2020,2021,Pombal,Leiria,Medium,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.025,2020,3,18,2021,11,30,Low Price,High Difference,0,0,0,delay
0,2020,2021,Guimarães,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2020,4,23,2021,1,5,Low Price,High Difference,0,0,0,extension
0,2020,2020,Lisboa,Lisboa,Medium,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.2,2020,4,28,2020,12,31,Low Price,Medium Difference,0,0,0,Not Specified
0,2020,2021,Portimão,Faro,Very Long,Medium Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.125,2020,5,7,2021,9,6,Low Price,Low Difference,0,0,0,Not Specified
0,2019,2021,Penacova,Coimbra,Short,Few Days,Medium Deadline,Medium Price,Medium Price,1,0.6,False,0.1,2020,2,29,2021,2,5,Medium Price,Medium Difference,0,0,1,delay
0,2020,2021,Portimão,Faro,Very Long,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.025,2020,5,7,2021,10,13,Low Price,Low Difference,0,0,0,extension
0,2020,2021,Cantanhede,Coimbra,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2020,5,8,2021,2,19,Low Price,High Difference,0,0,0,Not Specified
0,2019,2020,Vila Nova de Gaia,Porto,Very Long,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,True,0.025,2020,3,10,2020,8,21,Low Price,Medium Difference,1,0,0,pandemic
0,2020,2021,Lagos,Faro,Very Short,Few Days,Medium Deadline,Medium Price,Medium Price,0,0.0,False,0.15000000000000002,2020,4,27,2021,3,29,Medium Price,Low Difference,0,1,0,carry delivery
0,2019,2021,Vizela,Braga,Very Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.1,2020,1,16,2021,1,14,Low Price,Medium Difference,0,0,0,extension
0,2019,2021,Guimarães,Braga,Very Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,3,30,2021,7,13,Low Price,High Difference,0,0,0,extension
0,2020,2021,Guimarães,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,4,21,2021,3,24,Low Price,High Difference,0,0,0,extension
0,2020,2021,Guimarães,Braga,Very Short,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,3,30,2021,7,23,Low Price,High Difference,0,0,0,extension
0,2019,2020,Loures,Lisboa,Medium,Few Days,Short Deadline,Medium Price,Medium Price,0,0.0,False,0.05,2019,11,22,2020,9,22,Medium Price,Low Difference,0,0,1,extension
0,2019,2021,Oeiras,Lisboa,Very Long,Medium Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.07500000000000001,2020,3,18,2021,7,21,Low Price,Low Difference,0,0,0,extension
0,2020,2021,Lisboa,Lisboa,Very Short,Medium Days,Medium Deadline,Medium Price,Medium Price,1,0.7000000000000001,False,0.2,2020,5,4,2021,10,25,Medium Price,Low Difference,0,0,0,delay
1,2019,2021,Vila Nova de Gaia,Porto,Very Long,Medium Days,Medium Deadline,High Price,Medium Price,0,0.0,False,0.07500000000000001,2020,4,20,2021,11,16,Medium Price,Low Difference,0,0,0,provisional acceptance
0,2020,2021,Vizela,Braga,Very Long,Medium Days,Medium Deadline,High Price,Medium Price,2,1.0,False,0.0,2020,5,4,2021,5,4,Medium Price,Low Difference,0,0,0,Not Specified
0,2019,2021,Cascais,Lisboa,Very Short,Medium Days,Long Deadline,High Price,High Price,1,0.9,False,0.07500000000000001,2020,4,28,2021,10,1,High Price,Medium Difference,0,0,0,specify
0,2019,2021,Vila Nova de Gaia,Porto,Long,Medium Days,Long Deadline,High Price,High Price,0,0.0,False,0.17500000000000002,2020,2,21,2021,9,30,High Price,Low Difference,0,0,0,extension
0,2019,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.15000000000000002,2020,4,29,2020,5,29,Low Price,Medium Difference,0,0,0,change
0,2019,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.07500000000000001,2020,4,29,2020,7,23,Low Price,Medium Difference,0,0,1,Not Specified
0,2019,2020,Aljezur,Faro,Very Long,Few Days,Medium Deadline,Low Price,Low Price,1,0.7000000000000001,False,0.0,2020,4,16,2020,12,30,Low Price,Low Difference,0,0,0,extension
0,2019,2020,Cantanhede,Coimbra,Medium,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2020,4,29,2020,12,23,Low Price,Medium Difference,0,0,0,Not Specified
0,2020,2021,Santa Maria da Feira,Aveiro,Very Short,Medium Days,Medium Deadline,Medium Price,Medium Price,0,0.0,False,0.17500000000000002,2020,4,29,2021,12,14,Medium Price,Low Difference,0,0,0,delay
0,2020,2020,Elvas,Portalegre,Medium,Few Days,Medium Deadline,High Price,Low Price,2,1.0,False,0.15000000000000002,2020,4,3,2020,12,9,Low Price,Medium Difference,0,0,0,provisional acceptance
0,2020,2020,Braga,Braga,Very Long,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.225,2020,4,24,2020,7,24,Low Price,Medium Difference,0,0,0,specify
0,2019,2021,Santa Maria da Feira,Aveiro,Very Long,Medium Days,Medium Deadline,Medium Price,Medium Price,2,1.0,False,0.2,2020,4,23,2021,12,3,Medium Price,Low Difference,0,0,0,inspection
0,2020,2021,Anadia,Aveiro,Short,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.2,2020,4,20,2021,1,11,Low Price,Medium Difference,0,0,0,specify
0,2020,2020,Lisboa,Lisboa,Very Short,Few Days,Medium Deadline,Low Price,Low Price,0,0.0,False,0.4,2020,4,9,2020,12,31,Low Price,Medium Difference,0,0,0,Not Specified
